CustomerID,Gender,Age,Tenure_Months,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
1,Male,68,66,1324.86,87440.76,Yearly,Net Banking,0
2,Female,64,54,1603.67,86598.18,Monthly,Net Banking,0
3,Male,64,27,1611.07,43498.89,Monthly,Net Banking,0
4,Male,21,38,1134.7,43118.6,Quarterly,UPI,0
5,Male,24,58,1744.31,101169.98,Yearly,UPI,0
6,Female,62,62,904.48,56077.76,Quarterly,UPI,0
7,Male,52,46,1799.65,82783.9,Quarterly,Credit Card,0
8,Male,65,11,632.41,6956.51,Yearly,Net Banking,0
9,Male,26,8,704.39,5635.12,Monthly,Credit Card,0
10,Female,25,71,295.62,20989.02,Quarterly,UPI,0
11,Male,69,64,1632.05,104451.2,Monthly,Net Banking,0
12,Male,62,21,950.7,19964.7,Yearly,Credit Card,0
13,Male,34,63,612.41,38581.83,Quarterly,UPI,0
14,Male,34,64,617.22,39502.08,Monthly,Credit Card,0
15,Female,66,20,1822.52,36450.4,Monthly,Credit Card,0
16,Male,50,8,1701.05,13608.4,Quarterly,UPI,1
17,Female,49,58,1196.36,69388.88,Yearly,Net Banking,0
18,Female,25,46,1309.0,60214.0,Monthly,Debit Card,0
19,Female,36,31,1053.79,32667.49,Yearly,Debit Card,0
20,Male,55,9,905.0,8145.0,Quarterly,Credit Card,0
21,Female,20,15,1847.86,27717.9,Monthly,Credit Card,0
22,Male,22,26,426.1,11078.6,Monthly,Credit Card,0
23,Female,30,10,953.2,9532.0,Monthly,Net Banking,0
24,Female,64,29,820.21,23786.09,Yearly,Credit Card,0
25,Female,63,36,1096.67,39480.12,Monthly,Credit Card,0
26,Female,48,37,1023.74,37878.38,Monthly,Credit Card,0
27,Female,33,71,1134.0,80514.0,Quarterly,UPI,0
28,Female,67,23,451.85,10392.55,Monthly,Debit Card,0
29,Female,49,41,1123.65,46069.65,Yearly,Debit Card,0
30,Female,39,28,636.35,17817.8,Quarterly,UPI,0
31,Male,46,48,531.8,25526.4,Quarterly,Net Banking,0
32,Male,39,38,316.7,12034.6,Monthly,Net Banking,0
33,Female,60,31,1572.77,48755.87,Quarterly,Net Banking,0
34,Female,20,14,969.4,13571.6,Monthly,UPI,0
35,Female,27,29,1327.96,38510.84,Quarterly,Debit Card,0
36,Male,59,51,1509.67,76993.17,Yearly,Debit Card,0
37,Female,38,49,1422.77,69715.73,Monthly,Credit Card,0
38,Male,33,43,1046.9,45016.7,Yearly,Debit Card,0
39,Male,29,5,898.22,4491.1,Monthly,Net Banking,0
40,Male,19,42,876.73,36822.66,Yearly,Net Banking,0
41,Male,58,7,1352.09,9464.63,Yearly,Credit Card,1
42,Male,41,42,1090.63,45806.46,Quarterly,Credit Card,0
43,Female,52,36,1728.44,62223.84,Monthly,Debit Card,0
44,Female,47,27,1774.46,47910.42,Quarterly,Credit Card,0
45,Female,47,58,507.01,29406.58,Yearly,Credit Card,0
46,Female,64,46,445.22,20480.12,Monthly,UPI,0
47,Female,52,66,1334.72,88091.52,Yearly,Debit Card,0
48,Male,36,25,742.21,18555.25,Yearly,Net Banking,0
49,Female,67,27,233.43,6302.61,Yearly,UPI,0
50,Female,25,1,1799.56,1799.56,Yearly,Net Banking,1
51,Male,43,42,608.42,25553.64,Quarterly,Credit Card,0
52,Female,66,52,1872.71,97380.92,Yearly,Credit Card,0
53,Male,57,25,1491.38,37284.5,Quarterly,Net Banking,0
54,Female,24,54,1572.78,84930.12,Yearly,UPI,0
55,Male,47,67,562.63,37696.21,Monthly,UPI,0
56,Female,24,6,621.55,3729.3,Yearly,UPI,0
57,Female,20,58,1138.28,66020.24,Yearly,Credit Card,0
58,Male,18,70,509.78,35684.6,Monthly,Debit Card,0
59,Male,53,53,749.78,39738.34,Monthly,Credit Card,0
60,Male,42,66,778.63,51389.58,Yearly,Net Banking,0
61,Male,54,58,487.33,28265.14,Yearly,UPI,0
62,Male,18,2,569.33,1138.66,Quarterly,Debit Card,0
63,Male,32,22,1619.39,35626.58,Monthly,UPI,0
64,Male,54,37,500.95,18535.15,Monthly,Credit Card,0
65,Male,30,20,251.22,5024.4,Quarterly,Debit Card,0
66,Female,57,24,1332.84,31988.16,Yearly,Debit Card,0
67,Female,25,65,1956.77,127190.05,Yearly,Credit Card,0
68,Male,22,65,796.18,51751.7,Monthly,UPI,0
69,Female,26,1,413.58,413.58,Quarterly,UPI,0
70,Female,18,3,1226.7,3680.1,Yearly,UPI,1
71,Female,53,46,1831.44,84246.24,Monthly,Credit Card,0
72,Female,52,55,1611.31,88622.05,Yearly,Net Banking,0
73,Male,19,64,1320.53,84513.92,Yearly,Net Banking,0
74,Female,57,45,767.1,34519.5,Yearly,UPI,0
75,Male,40,26,1175.38,30559.88,Monthly,Debit Card,0
76,Female,26,65,364.24,23675.6,Quarterly,Net Banking,0
77,Female,51,24,1422.1,34130.4,Quarterly,UPI,0
78,Female,63,35,1505.17,52680.95,Yearly,Net Banking,0
79,Male,31,24,1937.06,46489.44,Quarterly,UPI,0
80,Female,21,28,668.72,18724.16,Yearly,Net Banking,0
81,Male,47,16,233.22,3731.52,Monthly,Net Banking,0
82,Female,48,59,1182.1,69743.9,Monthly,Debit Card,0
83,Male,55,54,1472.22,79499.88,Monthly,Debit Card,0
84,Female,28,16,1622.73,25963.68,Yearly,Net Banking,0
85,Male,52,15,548.73,8230.95,Quarterly,UPI,0
86,Male,25,11,671.16,7382.76,Monthly,Debit Card,0
87,Female,20,65,1122.66,72972.9,Yearly,Credit Card,0
88,Male,31,68,795.08,54065.44,Quarterly,Debit Card,0
89,Female,30,43,1748.92,75203.56,Quarterly,Net Banking,0
90,Female,62,69,1052.77,72641.13,Quarterly,Net Banking,0
91,Female,49,13,1639.24,21310.12,Yearly,Credit Card,0
92,Female,51,10,1245.12,12451.2,Yearly,Debit Card,1
93,Female,62,41,1591.56,65253.96,Yearly,Net Banking,0
94,Female,36,50,798.81,39940.5,Monthly,Credit Card,0
95,Female,55,71,1696.55,120455.05,Yearly,Credit Card,0
96,Female,33,59,694.23,40959.57,Monthly,UPI,0
97,Female,19,39,1182.98,46136.22,Monthly,Debit Card,0
98,Female,57,3,585.21,1755.63,Monthly,Debit Card,0
99,Female,34,7,1055.95,7391.65,Yearly,Debit Card,0
100,Male,51,49,772.72,37863.28,Monthly,Net Banking,0
101,Male,59,26,680.07,17681.82,Yearly,Credit Card,0
102,Female,33,33,1940.57,64038.81,Yearly,UPI,0
103,Female,55,48,488.13,23430.24,Monthly,Debit Card,0
104,Female,19,2,1617.19,3234.38,Monthly,UPI,1
105,Female,19,71,1971.5,139976.5,Monthly,UPI,0
106,Female,43,32,235.82,7546.24,Yearly,Credit Card,0
107,Female,30,4,1458.25,5833.0,Yearly,Debit Card,1
108,Female,64,20,655.24,13104.8,Monthly,UPI,0
109,Female,48,36,272.88,9823.68,Monthly,Debit Card,0
110,Male,51,32,925.2,29606.4,Quarterly,Debit Card,0
111,Female,56,28,1883.39,52734.92,Monthly,Debit Card,0
112,Male,20,1,221.18,221.18,Quarterly,UPI,0
113,Female,25,60,1258.19,75491.4,Quarterly,Credit Card,0
114,Female,40,56,1102.51,61740.56,Yearly,Credit Card,0
115,Male,31,35,1772.09,62023.15,Yearly,UPI,0
116,Female,44,30,351.2,10536.0,Quarterly,Net Banking,0
117,Male,46,54,1426.75,77044.5,Quarterly,Debit Card,0
118,Female,56,36,1424.2,51271.2,Monthly,Debit Card,0
119,Female,56,55,1404.34,77238.7,Quarterly,Credit Card,0
120,Male,18,58,1896.2,109979.6,Monthly,UPI,0
121,Female,34,65,1681.56,109301.4,Yearly,UPI,0
122,Male,58,69,275.55,19012.95,Monthly,Net Banking,0
123,Female,47,51,1047.95,53445.45,Yearly,Net Banking,0
124,Male,30,22,916.32,20159.04,Quarterly,Credit Card,0
125,Male,38,53,758.26,40187.78,Quarterly,Net Banking,0
126,Female,36,36,1012.41,36446.76,Quarterly,Net Banking,0
127,Female,36,68,891.55,60625.4,Monthly,UPI,0
128,Male,42,36,978.2,35215.2,Yearly,UPI,0
129,Female,39,52,1962.67,102058.84,Yearly,Net Banking,0
130,Female,48,53,359.54,19055.62,Yearly,Credit Card,0
131,Female,34,50,1860.02,93001.0,Yearly,Net Banking,0
132,Male,40,41,1064.43,43641.63,Yearly,Credit Card,0
133,Male,49,18,1322.74,23809.32,Monthly,Net Banking,0
134,Male,27,22,1694.33,37275.26,Yearly,UPI,0
135,Male,27,66,848.83,56022.78,Quarterly,UPI,0
136,Male,53,21,974.76,20469.96,Yearly,Credit Card,0
137,Male,25,44,937.13,41233.72,Quarterly,Net Banking,0
138,Male,69,47,874.52,41102.44,Monthly,Net Banking,0
139,Male,37,39,1865.95,72772.05,Monthly,Credit Card,0
140,Male,49,29,1692.07,49070.03,Quarterly,Net Banking,0
141,Female,67,54,396.2,21394.8,Yearly,Debit Card,0
142,Male,31,17,394.62,6708.54,Monthly,UPI,0
143,Female,67,60,970.17,58210.2,Monthly,UPI,0
144,Female,45,31,377.58,11704.98,Monthly,Credit Card,0
145,Female,63,49,1314.37,64404.13,Yearly,Net Banking,0
146,Male,69,2,458.64,917.28,Quarterly,Credit Card,0
147,Male,41,48,1140.27,54732.96,Quarterly,Debit Card,0
148,Male,32,14,213.0,2982.0,Yearly,Net Banking,0
149,Male,39,59,769.87,45422.33,Monthly,Debit Card,0
150,Female,47,58,1418.94,82298.52,Yearly,Credit Card,0
151,Male,21,58,1071.27,62133.66,Yearly,UPI,0
152,Male,30,51,1960.89,100005.39,Quarterly,Debit Card,0
153,Male,40,2,1773.39,3546.78,Yearly,Net Banking,1
154,Male,25,41,846.33,34699.53,Yearly,Credit Card,0
155,Male,35,16,281.88,4510.08,Monthly,Credit Card,0
156,Female,29,4,1722.13,6888.52,Monthly,Credit Card,1
157,Male,48,12,1840.22,22082.64,Quarterly,UPI,0
158,Female,31,29,1677.13,48636.77,Monthly,Credit Card,0
159,Male,51,7,430.31,3012.17,Yearly,Credit Card,0
160,Female,35,14,1996.25,27947.5,Yearly,UPI,0
161,Male,51,12,665.45,7985.4,Yearly,Credit Card,0
162,Male,28,5,1503.57,7517.85,Quarterly,Credit Card,1
163,Female,58,32,1834.46,58702.72,Monthly,Debit Card,0
164,Female,29,43,624.24,26842.32,Yearly,Credit Card,0
165,Female,66,69,1834.87,126606.03,Monthly,UPI,0
166,Male,32,45,757.07,34068.15,Monthly,Debit Card,0
167,Female,48,9,1957.54,17617.86,Monthly,Credit Card,1
168,Male,66,49,706.27,34607.23,Monthly,UPI,0
169,Male,46,33,1916.18,63233.94,Quarterly,Net Banking,0
170,Female,43,18,296.38,5334.84,Quarterly,Credit Card,0
171,Female,35,9,1476.69,13290.21,Quarterly,Net Banking,1
172,Male,49,62,1157.8,71783.6,Yearly,Debit Card,0
173,Male,39,57,1060.18,60430.26,Yearly,UPI,0
174,Female,55,29,602.29,17466.41,Yearly,Debit Card,0
175,Female,34,25,1470.07,36751.75,Quarterly,Net Banking,0
176,Female,40,15,543.46,8151.9,Monthly,Net Banking,0
177,Male,41,6,1195.12,7170.72,Quarterly,Net Banking,0
178,Male,67,42,655.84,27545.28,Yearly,UPI,0
179,Male,25,29,1920.12,55683.48,Yearly,Net Banking,0
180,Male,58,4,251.54,1006.16,Monthly,Net Banking,0
181,Male,23,57,559.51,31892.07,Quarterly,UPI,0
182,Male,22,49,636.16,31171.84,Monthly,Net Banking,0
183,Female,61,44,945.32,41594.08,Quarterly,Credit Card,0
184,Male,46,14,618.91,8664.74,Yearly,Net Banking,0
185,Male,45,3,1084.43,3253.29,Monthly,UPI,0
186,Male,28,62,1770.44,109767.28,Monthly,Net Banking,0
187,Female,18,64,1481.71,94829.44,Quarterly,UPI,0
188,Male,60,45,1243.93,55976.85,Quarterly,Net Banking,0
189,Male,36,58,360.21,20892.18,Quarterly,Credit Card,0
190,Female,26,20,1449.19,28983.8,Yearly,UPI,0
